K1_Allocation,Clustering,K1,K2,Accuracy,Training Time (s),Energy Computation (J),Energy Communication (J),Total Energy (J),Number of Communications
reversed,energy,5,5,0.9268,117.09,11.7,10447.63,10459.34,6250
non_reversed,energy,5,5,0.9348,147.29,14.72,10447.63,10462.36,6250
uniform,energy,5,5,0.9297,147.0,14.7,10261.38,10276.08,6250
reversed,energy,5,20,0.9728,468.35,46.83,41231.8,41278.64,25000
non_reversed,energy,5,20,0.9703,589.16,58.91,41231.8,41290.72,25000
uniform,energy,5,20,0.8687,583.55,58.35,40553.01,40611.36,24700
reversed,energy,20,10,0.9736,1031.83,103.18,20709.02,20812.21,12500
non_reversed,energy,20,10,0.9784,1280.58,128.05,20709.02,20837.08,12500
uniform,energy,20,10,0.9622,1176.02,117.6,20522.77,20640.38,12500
reversed,energy,10,10,0.8488,498.32,49.83,20709.02,20758.85,12500
non_reversed,energy,10,10,0.9706,630.36,63.03,20709.02,20772.06,12500
uniform,energy,10,10,0.977,588.01,58.8,20522.77,20581.57,12500
reversed,energy,5,10,0.9558,234.17,23.41,20709.02,20732.44,12500
non_reversed,energy,5,10,0.9539,294.58,29.45,20709.02,20738.48,12500
uniform,energy,5,10,0.9606,294.0,29.4,20522.77,20552.17,12500
reversed,energy,10,5,0.9523,249.16,24.91,10447.63,10472.55,6250
non_reversed,energy,10,5,0.9531,315.18,31.51,10447.63,10479.15,6250
uniform,energy,10,5,0.9555,294.0,29.4,10261.38,10290.78,6250
reversed,energy,20,5,0.9593,515.91,51.59,10447.63,10499.22,6250
non_reversed,energy,20,5,0.9592,640.29,64.02,10447.63,10511.66,6250
uniform,energy,20,5,0.9438,588.01,58.8,10261.38,10320.19,6250
reversed,energy,10,20,0.9833,996.65,99.66,41231.8,41331.47,25000
non_reversed,energy,10,20,0.9771,1260.72,126.07,41231.8,41357.87,25000
uniform,energy,10,20,0.9846,1176.02,117.6,41045.55,41163.15,25000
reversed,energy,20,20,0.9839,2063.67,206.36,41231.8,41438.17,25000
non_reversed,energy,20,20,0.9841,2561.16,256.11,41231.8,41487.92,25000
uniform,energy,20,20,0.9847,2352.05,235.2,41045.55,41280.76,25000
reversed,energy,10,20,0.9833,996.65,99.66,41231.8,41331.47,25000
non_reversed,energy,10,20,0.9771,1260.72,126.07,41231.8,41357.87,25000
uniform,energy,10,20,0.9846,1176.02,117.6,41045.55,41163.15,25000
